 A16905_26L_model                                                                 REF PER =   1.0 SECS


  LEVEL    RADIUS        RHO         VPV         VPH         VSV         VSH         ETA         QMU         QKAP
   176   4191329.0     5211.52    13025.78    13025.78     7014.37     7014.37     1.00000      312.00    57823.00
   177   4219336.0     5197.43    12993.57    12993.57     7001.79     7001.79     1.00000      312.00    57823.00
   178   4247293.0     5183.34    12961.37    12961.37     6989.19     6989.19     1.00000      312.00    57823.00
   179   4275199.0     5169.26    12929.16    12929.16     6976.58     6976.58     1.00000      312.00    57823.00
   180   4303055.0     5155.17    12896.93    12896.93     6963.94     6963.94     1.00000      312.00    57823.00
   181   4330860.0     5141.09    12864.65    12864.65     6951.27     6951.27     1.00000      312.00    57823.00
   182   4358614.0     5127.00    12832.33    12832.33     6938.57     6938.57     1.00000      312.00    57823.00
   183   4386317.0     5112.91    12799.95    12799.95     6925.83     6925.83     1.00000      312.00    57823.00
   184   4413969.0     5098.81    12767.49    12767.49     6913.05     6913.05     1.00000      312.00    57823.00
   185   4441570.0     5084.70    12734.95    12734.95     6900.23     6900.23     1.00000      312.00    57823.00
   186   4469120.0     5070.59    12702.31    12702.31     6887.35     6887.35     1.00000      312.00    57823.00
   187   4496617.0     5056.46    12669.56    12669.56     6874.43     6874.43     1.00000      312.00    57823.00
   188   4524063.0     5042.33    12636.68    12636.68     6861.45     6861.45     1.00000      312.00    57823.00
   189   4551457.0     5028.19    12603.68    12603.68     6848.40     6848.40     1.00000      312.00    57823.00
   190   4578798.0     5014.03    12570.53    12570.53     6835.30     6835.30     1.00000      312.00    57823.00
   191   4606087.0     4999.86    12537.23    12537.23     6822.12     6822.12     1.00000      312.00    57823.00
   192   4633322.0     4985.68    12503.76    12503.76     6808.87     6808.87     1.00000      312.00    57823.00
   193   4660504.0     4971.47    12470.11    12470.11     6795.55     6795.55     1.00000      312.00    57823.00
   194   4687633.0     4957.26    12436.28    12436.28     6782.15     6782.15     1.00000      312.00    57823.00
   195   4714707.0     4943.02    12402.25    12402.25     6768.66     6768.66     1.00000      312.00    57823.00
   196   4741728.0     4928.77    12368.01    12368.01     6755.09     6755.09     1.00000      312.00    57823.00
   197   4768694.0     4914.49    12333.56    12333.56     6741.43     6741.43     1.00000      312.00    57823.00
   198   4795604.0     4900.20    12298.87    12298.87     6727.68     6727.68     1.00000      312.00    57823.00
   199   4822460.0     4885.88    12263.95    12263.95     6713.83     6713.83     1.00000      312.00    57823.00
   200   4849259.0     4871.55    12228.78    12228.78     6699.88     6699.88     1.00000      312.00    57823.00
   201   4876003.0     4857.19    12193.36    12193.36     6685.83     6685.83     1.00000      312.00    57823.00
   202   4902689.0     4842.80    12157.67    12157.67     6671.68     6671.68     1.00000      312.00    57823.00
   203   4929319.0     4828.39    12121.71    12121.71     6657.42     6657.42     1.00000      312.00    57823.00
   204   4955891.0     4813.96    12085.46    12085.46     6643.04     6643.04     1.00000      312.00    57823.00
   205   4982405.0     4799.50    12048.92    12048.92     6628.55     6628.55     1.00000      312.00    57823.00
   206   5008861.0     4785.01    12012.08    12012.08     6613.95     6613.95     1.00000      312.00    57823.00
   207   5035258.0     4770.49    11974.94    11974.94     6599.22     6599.22     1.00000      312.00    57823.00
   208   5061595.0     4755.95    11937.47    11937.47     6584.37     6584.37     1.00000      312.00    57823.00
   209   5087873.0     4741.38    11899.69    11899.69     6569.40     6569.40     1.00000      312.00    57823.00
   210   5114090.0     4726.78    11861.57    11861.57     6554.30     6554.30     1.00000      312.00    57823.00
   211   5140247.0     4712.15    11823.11    11823.11     6539.07     6539.07     1.00000      312.00    57823.00
   212   5166341.0     4697.48    11784.31    11784.31     6523.71     6523.71     1.00000      312.00    57823.00
